entity_type,request_path,target_path,store_id,redirect_type
custom,staging-1/black-swamp-overstock-sale,/black-swamp-overstock-sale/,10,301
custom,accessories-1/metronomes-and-tuners,/accessories/metronomes-and-tuners/,10,301
custom,staging-1/custom-percussion-packs,/custom-percussion-packs/,10,301
custom,black-swamp-25th-anniversary-products,/black-swamp-25th-anniversary-gear/,10,301
custom,wgi-,/iamwgi-full/,10,301
custom,drum-heads-1/marching-drum-heads,/drum-heads/marching-drum-heads/,10,301
custom,in-our-stores/Early-Childhood-Education/splt-summer-fall-2017,https://content.westmusic.com/in-our-stores/early-childhood-education/,10,301
custom,accessories-1/apparel/t-shirts,/accessories/apparel/t-shirts/,10,301
custom,iamwgi,https://content.percussionsource.com/iamwgi/,10,301
custom,hardware-1/drumset-headware,/hardware/drumset-hardware/,10,301
custom,s/concert-percussion-timpani,,10,301
custom,drum-heads-2/marching/marching-bass-heads,/drum-heads/marching/marching-bass-heads/,10,301
custom,hardware/adaptors-mounts-clamps/multi-clamps,/hardware/adapter-mounts-and-clamps/multi-clamps/,10,301
custom,world-percussion/doumbeks-darbukas,/world-percussion/doumbeks/,10,301
custom,cymbals-gongs-1/concert-and-marching-cymbals/crotales,/cymbals-gongs/concert-and-marching-cymbals/crotales/,10,301
custom,cymbals-gongs-1/drumset-cymbals/ride-cymbals,/cymbals-gongs/drumset-cymbals/ride-cymbals/,10,301
custom,staging/dan-moore-series-mallets,/dan-moore-series-mallets/,10,301
custom,in-our-stores/sales/guitar-restring,/,10,301
custom,drum-heads-2/drumset-head/drumset-bass-heads,/drum-heads/drumset-heads/drumset-bass-heads/,10,301
custom,hardware-1/world-percussion-hardware/djembe-stands,,10,301
custom,1002409-drums-percussion/g5080-timpani-roto-toms,/drums-percussion/,10,301
custom,in-our-stores/Early-Childhood-Education/splt-summer-2017,https://content.westmusic.com/in-our-stores/early-childhood-education/,10,301
custom,staging-1/holiday-clearance,/holiday/clearance/,10,301
custom,hardware/adaptors-mounts-clamps/triangle-clips-and-mounts,/hardware/adapter-mounts-and-clamps/triangle-clips-and-mounts/,10,301
custom,wgi-free-shipping-day,/iamwgi-full/,10,301
custom,staging/iamwgi-practice-pads,/iamwgi-practice-pads/,10,301
custom,world-percussion/bongos-1,/world-percussion/bongos/,10,301
custom,in-our-stores/sales/closed-door-sale-2017,/,10,301
custom,hardware-1/concert-hardware/concert-tom-stands,/hardware/concert-hardware/concert-tom-stands/,10,301
custom,concert/accessories/gong-stands,/hardware/concert-hardware/gong-stands/,10,301
custom,staging-1/redesigned-pearl-philharmonics-snares,/redesigned-pearl-philharmonic-snares/,10,301
custom,world-percussion-1/tubanos,/world-percussion/tubanos/,10,301
custom,hardware-1/parts/keyboard-parts,/hardware/parts/keyboard-parts/,10,301
custom,custom-1/national-schools/stripling-middle-school,/national-schools/stripling-middle-school/,10,301
custom,marching-brass-1/mellophones,/marching-brass/mellophones/,10,301
custom,staging-1/daddario-deals-ps,/promark-beat-the-price-increase/,10,301
custom,national-schools/monning-middle-school,/national-schools/monnig-middle-school/,10,301
custom,s/sticks-and-mallets-concert,,10,301
custom,hardware/marching-hardware/snare-stands,/hardware/marching-hardware/marching-snare-stands/,10,301
custom,cymbals-gongs-1/drumset-cymbals/hi-hats,/cymbals-gongs/drumset-cymbals/hi-hats/,10,301
custom,world-percussion-1/djun-djun-drums,/world-percussion/djun-djun-drums/,10,301
custom,staging/gifting-with-percussion-source,/gifting-with-percussion-source/,10,301
custom,staging/save-on-evan-s-marching-packs,/specials/save-on-evan-s-marching-packs/,10,301
custom,b/stoessal,/b/stoessel/,10,301
custom,hardware-1/adapter-mounts-and-clamps/accessory-percussion-mounts,/hardware/adapter-mounts-and-clamps/accessory-percussion-mounts/,10,301
custom,cap-city-wgi,/cap-city/,10,301
custom,promo/holiday-shipping-schedule,/holiday-shipping-schedule,10,301
custom,marching-brass/marching-euphonium,/marching-brass/marching-euphoniums/,10,301
custom,featured/didn-t-know-you-needed,/featured/10-things-you-didnt-know-you-needed/,10,301
custom,hardware-1/adapter-mounts-and-clamps/multi-clamps,/hardware/adapter-mounts-and-clamps/multi-clamps/,10,301
custom,staging-1/new-practice-pads,/new-practice-pads/,10,301
custom,staging/vic-firth-buy-2-get-1-free,/vic-firth-buy-2-get-1-free/,10,301
custom,cymbals-gongs-1/gongs-and-tam-tams/chau-gongs,/cymbals-gongs/gongs-and-tam-tams/chau-gongs/,10,301
custom,s/concert-percussion-mallet-percussion,,10,301
custom,staging-1/holiday-product-features-week-3,/holiday-gear-week-3/,10,301
custom,drum-heads-2/world/conga-heads,/drum-heads/world/conga-heads/,10,301
custom,staging-1/stocking-stuffers,/holiday/stocking-stuffers/,10,301
custom,staging/holiday-gift-guide,/featured/holiday-gift-guide/,10,301
custom,staging/marching-must-haves,/marching-must-haves/,10,301
custom,drum-heads-1/drum-set-heads/drum-set-heads-prepacks,,10,301
custom,s/concert-percussion-accessories,,10,301
custom,bargainbox,/bargain-boxes/,10,301
custom,staging-1/zildjian-zing-sale,/zildjian-zing-sale/,10,301
custom,staging-1/march-in-time-evans-ps2021,/march-in-time/evans/,10,301
custom,1002409-drums-percussion/g5080-timpani-roto-toms/g5080b-timpani,/drums-percussion/,10,301
custom,snare-pads/concert-pads,,10,301
custom,hardware-1/world-percussion-hardware,/hardware/world-percussion-hardware/,10,301
custom,national-schools/arlington-heights-hs,/national-schools/monnig-middle-school/,10,301
custom,staging-1/djembe-to-make-your-day,/djembe-to-make-your-day/,10,301
custom,drum-heads-1/world-drumming-heads/other-drum-heads,,10,301
custom,remosonorrebate,/remo-rebate/,10,301
custom,specials/marching-brass/marching-euphonium,/marching-brass/marching-euphoniums/,10,301
custom,cymbals-gongs-1/concert-and-marching-cymbals/straps-pads-and-gloves,/cymbals-gongs/concert-and-marching-cymbals/straps-pads-and-gloves/,10,301
custom,1002409-drums-percussion,/drums-percussion/,10,301
custom,drum-heads-2/drumset-head/drumset-head-prepacks,/drum-heads/drumset-heads/drumset-head-prepacks/,10,301
custom,world-percussion-1/log-drums,/world-percussion/log-drums/,10,301
custom,staging/emad-special,/evans-emad-special/,10,301
custom,staging-1/zildjian-k-and-k-custom-cymbals,/zildjian-k-and-k-custom-cymbals/,10,301
custom,daddario-deals,/promark-beat-the-price-increase/,10,301
custom,hardware-1/concert-hardware,/hardware/concert-hardware/,10,301
custom,bandorchaccessories,/band-orchestra/,10,301
custom,blogs/teacher-feature-janet-winship.aspx,https://content.westmusic.com/,10,301
custom,drum-heads-1/world-drumming-heads/bongo-heads,,10,301
custom,accessories/drum-heads,,10,301
custom,marching-tuba,/marching-brass/sousaphones-and-marching-tubas/,10,301
custom,staging/iamwgi-sticks-and-mallets,/iamwgi-sticks-and-mallets/,10,301
custom,hardware-1/parts/timpani-parts,/hardware/parts/timpani-parts/,10,301
custom,in-our-stores/Early-Childhood-Education/kindermusik-summer-2017,https://content.westmusic.com/in-our-stores/early-childhood-education/,10,301
custom,staging/introducing-m-tech,/m-tech-marimbas-malletech/,10,301
custom,staging/1060000,/featured/built-to-compete/,10,301
custom,mmc,https://content.westmusic.com/mmc-michigan-music-conference/,10,301
custom,cymbals-gongs/concert-marching-cymbals/crotales,/cymbals-gongs/concert-and-marching-cymbals/crotales/,10,301
custom,staging/black-swamp-anniversary-products,/black-swamp-25th-anniversary-gear/,10,301
custom,staging/redesigned-chronos-hardware,/redesigned-chronos-hardware/,10,301
custom,staging-1/drumsets-50-off-2021-ps,/drumsets-50-off-2021/,10,301
custom,practice-pads-2/snare-practice-pads,/practice-pads/snare-practice-pads/,10,301
custom,staging/discontinued-balter-mallets,/specials/discontinued-balter-mallets/,10,301
custom,sticks-mallets/alternate-implements/,/drumsticks-mallets/,10,301
custom,hardware/drum-set-hardware/thrones,/hardware/drumset-headware/thrones/,10,301
custom,hardware-1/drumset-headware/drumset-snare-stands,/hardware/drumset-headware/drumset-snare-stands/,10,301
custom,staging-1/isu-drumline-camp,/isu-drumline-camp/,10,301
custom,hardware-1/concert-hardware/keyboard-stands-and-frames,/hardware/concert-hardware/keyboard-stands-and-frames/,10,301
custom,s/concert-percussion-mallet-percussion-xylophones?aff=5110,,10,301
custom,hardware/parts/1060705,/hardware/parts/snare-wires-strainers-parts/,10,301
custom,hardware/parts/1060704,/hardware/parts/drum-and-hardware-parts/,10,301
custom,national-schools/mclean-middle-school,/national-schools/mclean-6th-grade-percussion/,10,301
custom,hardware/drum-set-hardware/hihat-stands,/hardware/drumset-headware/hi-hat-stands/,10,301
custom,drum-heads-1/concert-drum-heads/concert-bass-heads,,10,301
custom,featured-1/cap-city,/cap-city/,10,301
custom,snare-pads/bass-pads,,10,301
custom,specials/bsp-edu-network/258951,/black-swamp-cf1-hard-carbon-fiber-timpani-mallets-258951,10,301
custom,staging-1/tom-burritt-mallets,/tom-burritt-mallets/,10,301
custom,staging-1/lets-play-zildjian,/lets-play-zildjian/,10,301
custom,cymbals-gongs-1/gongs-and-tam-tams/tuned-gongs,/cymbals-gongs/gongs-and-tam-tams/tuned-gongs/,10,301
custom,staging-1/march-in-time-promark-ps2021,/march-in-time/promark/,10,301
custom,articles/smart-rhythms-for-fall.htm.,https://content.westmusic.com/,10,301
custom,specials/illinois-music-ed-presale,/specials/imec-2019-yamaha-presale/,10,301
custom,custom-1/national-schools/aspen-creek,/aspen-creek/,10,301
custom,hardware-1/marching-hardware/field-frames-carts-and-racks,/hardware/marching-hardware/field-frames-carts-and-racks/,10,301
custom,staging/low-volume-high-impact,/be-a-good-neighbor/,10,301
custom,majestic-prophonic-snares,/majestic-prophonic-snare-sale/,10,301
custom,accessories-1/apparel/other,/accessories/apparel/other/,10,301
custom,1002409-drums-percussion/g5080-timpani-roto-toms/g5080a-roto-toms,/drums-percussion/,10,301
custom,wgi,/iamwgi-full/,10,301
custom,staging/promark-bogo-two-for-the-price-of-one-1,,10,301
custom,staging/d-addario-brands-20-percent-off,/d-addario-brands-20-percent-off/,10,301
custom,accessories/drumset-accessories,,10,301
custom,staging-1/spring-cleaning-sale-ps2021,/spring-cleaning-sale/,10,301
custom,accessories-1/tone-control,/accessories/tone-control/,10,301
custom,accessories-1/carts-storage,/accessories/carts-storage/,10,301
custom,cymbals-gongs-1/gongs-and-tam-tams,/cymbals-gongs/gongs-and-tam-tams/,10,301
custom,staging-1/ps-last-minute-holiday-steals-2020,/holiday/last-minute-holiday-steals/,10,301
custom,hardware-1/concert-hardware/concert-cymbal-stands,/hardware/concert-hardware/concert-cymbal-stands/,10,301
custom,accessories/adapters-mounts,/accessories/adapters-mounts-clamps/,10,301
custom,staging-1/majestic-prophonic-snares-ps-2021,/majestic-prophonic-snare-sale/,10,301
