entity_type,request_path,target_path,store_id,redirect_type
custom,specialty-niche/summer-workshops/george-mason-university-orff-courses,/summer-workshops/george-mason-university-orff-courses/,1,301
custom,guitar-restring,https://content.westmusic.com/international-guitar-month/,1,301
custom,1002406-cds-dvds/m5120-world-multi-cultural-cds-dvds/m5120e-hawaii/hawaiian-playground.htm,/music-books-resources/cd-dvd/,1,301
custom,shifting-essentials,https://content.westmusic.com/learn-and-discover/west-music-masterclass-series/,1,301
custom,p/accent-on-achievement-book-3-combined-percussion-800684,/,1,301
custom,p/accent-on-achievement-book-3-bassoon.htm,/,1,301
custom,1002409-drums-percussion/p2020-hand-mounted-percussion/p2020a-bells/west-music-be7002-waist-bells.htm,/drums-percussion/hand-mounted-percussion/bells/basic-beat-bbwb10-waist-bells-204157?returnurl=%2fsearch%3fq%3dwaist%2bbells,1,301
custom,mariachi/WcgTd/,/music-books-resources/mariachi-music/,1,301
custom,specialty-niche/summer-workshops/university-of-st-thomas-orff-courses,/summer-workshops/university-of-st-thomas-orff-courses/,1,301
custom,p/hq-percussion-hq-realfeel-rf6d-6-double-sided-practice-pad.htm,/,1,301
custom,...mini-red-electric-guitar,/,1,301
custom,/in-our-stores/In-the-Schools/march-music-madness/mmm15-vote-1.htm,https://content.westmusic.com/in-our-stores/in-the-schools/,1,301
custom,/learn-and-discover/Conventions-and-Workshops/proof.asp,https://content.westmusic.com/learn-and-discover/conferences-conventions/,1,301
custom,1002410-print-music-books/m1130-recorder-music/m1130a-methods/its-recorder-time.htm,/music-books-resources/music-classroom-books-materials/recorder/it-s-recorder-time-803934,1,301
custom,p/listening-resource-kit-level-1.htm,/,1,301
custom,/closeddoorsale,https://content.westmusic.com/in-our-stores/store-locations-west-music/,1,301
custom,1002403-guitars-folk/g7010-guitar-accessories/g7010e-picks/dunlop-tortex-standard-guitar-picks.htm,/guitars-folk/accessories/guitar-folk-picks/dunlop-tortex-standard-guitar-picks-12-pack-88mm-353110,1,301
custom,p/vic-firth-tom-gauger-tg25-combination-snaretimpani-sticks.htm,/,1,301
