"Google AdWords conversion tracking","Google AdWords conversion tracking"
Enable,Enable
"Google Conversion Id","Google Conversion Id"
"Google Conversion Label","Google Conversion Label"
"Google Conversion Currency Code","Google Conversion Currency Code"
"Orders with value 0.00 can be excluded from conversion tracking if you set this option to Yes","Orders with value 0.00 can be excluded from conversion tracking if you set this option to Yes"
"Google AdWords Remarketing","Google AdWords Remarketing"
"Conversion Code","Conversion Code"
"Conversion Label","Conversion Label"
"You can leave the Conversion Label field blank if there is no google_conversion_label in the code box.","You can leave the Conversion Label field blank if there is no google_conversion_label in the code box."
"Orders with value 0.00 can be excluded from adwords remarketing if you set this option to Yes","Orders with value 0.00 can be excluded from adwords remarketing if you set this option to Yes"
"Json Export Options","Json Export Options"
"Public ID","Public ID"
"WeltPixel GA4 Categories Cache","WeltPixel GA4 Categories Cache"
"Categories used with Product Events","Categories used with Product Events"
"WeltPixel GA4 PromoLinkWidget","WeltPixel GA4 PromoLinkWidget"
"Promo Id","Promo Id"
"Promo Name","Promo Name"
"Promo Creative","Promo Creative"
"Promo Position","Promo Position"
"Link Destination","Link Destination"
"Open link in new tab","Open link in new tab"
"Link Content","Link Content"
